code	name	lat	lng
FI-IS	Itä-Suomen lääni	62.613	26.473
FI-LL	Lapin lääni	67.416	26.261
FI-LS	Länsi-Suomen lääni	62.743	23.689
FI-OL	Oulun lääni	65.013	25.471
FJ-C	Central	-17.945	178.246
FR-01	Ain	46.202	5.222
FR-02	Aisne	49.39	3.653
FR-06	Alpes-Maritimes	44.25	7.167
FR-08	Ardennes	50.09	4.832
FR-10	Aube	48.386	4.533
FR-11	Aude	42.927	2.664
FR-67	Bas-Rhin	48.588	7.742
FR-13	Bouches-du-Rhône	43.319	5.408
FR-14	Calvados	49.048	0.294
FR-15	Cantal	45.092	2.695
FR-16	Charente	45.878	-0.219
FR-17	Charente-Maritime	45.945	-0.976
FR-21	Côte-d'Or	47.333	5.037
FR-22	Côtes-d'Armor	48.514	-2.765
FR-79	Deux-Sèvres	46.325	-0.465
FR-24	Dordogne	45.213	1.106
FR-26	Drôme	44.689	5.108
FR-27	Eure	49.066	1.025
FR-29	Finistère	48.014	-4.093
FR-33	Gironde	44.583	-0.088
FR-31	Haute-Garonne	43.607	1.435
FR-65	Hautes-Pyrénées	43.234	0.068
FR-68	Haut-Rhin	48.086	7.354
FR-35	Ille-et-Vilaine	48.658	-1.975
FR-36	Indre	46.866	1.182
FR-38	Isère	45.322	5.931
FR-39	Jura	46.273	5.944
FR-42	Loire	46.333	1.036
FR-44	Loire-Atlantique	47.157	-1.602
FR-49	Maine-et-Loire	47.529	-0.528
FR-50	Manche	49.646	-1.577
FR-51	Marne	48.524	3.849
FR-53	Mayenne	48.304	-0.618
FR-54	Meurthe-et-Moselle	48.693	6.184
FR-55	Meuse	49.115	5.179
FR-56	Morbihan	47.6	-2.8
FR-59	Nord	50.465	3.209
FR-60	Oise	49.482	3.072
FR-61	Orne	48.997	-0.244
FR-75	Paris	48.857	2.351
FR-62	Pas-de-Calais	50.573	2.324
FR-64	Pyrénées-Atlantiques	43.296	-0.369
FR-69	Rhône	44.768	5.294
FR-72	Sarthe	48.0	-0.094
FR-77	Seine-et-Marne	48.542	2.656
FR-76	Seine-Maritime	49.508	0.174
FR-93	Seine-Saint-Denis	48.936	2.365
FR-81	Tarn	44.076	2.41
FR-85	Vendée	46.506	-0.665
FR-86	Vienne	46.448	1.052
GB-ENG	England	52.561	-1.47
GB-SCT	Scotland	56.491	-4.203
GB-AND	Ards and Northdown	54.64	-5.677
GB-ANN	Antrim and Newtownabbey	54.714	-6.058
GB-NIR	Northern Ireland	54.788	-6.492
GB-FMO	GB-FMO	54.439	-7.562
GB-UKM	United Kingdom	55.378	-3.436
GB-BKM	Buckinghamshire	51.634	-0.542
GB-CAM	Cambridgeshire	52.409	0.262
GB-CMA	Cumbria	54.606	-3.532
GB-DBY	Derbyshire	52.973	-1.357
GB-CCG	Causeway Coast and Glens	55.074	-6.611
GB-DEV	Devon	50.777	-3.999
GB-DOR	Dorset	51.037	-2.275
GB-ESX	East Sussex	50.928	0.132
GB-ESS	Essex	51.766	0.538
GB-GLS	Gloucestershire	51.893	-2.158
GB-HAM	Hampshire	51.365	-1.526
GB-HLD	Highland	57.48	-4.835
GB-HRT	Hertfordshire	51.752	-0.239
GB-KEN	Kent	51.381	0.22
GB-LAN	Lancashire	53.683	-2.656
GB-LEC	Leicestershire	52.635	-1.13
GB-LIN	Lincolnshire	53.235	-0.538
GB-NFK	Norfolk	52.756	0.399
GB-NYK	North Yorkshire	54.159	-1.542
GB-NTH	Northamptonshire	52.237	-0.897
GB-NTT	Nottinghamshire	52.955	-1.149
GB-OXF	Oxfordshire	51.837	-1.32
GB-SOM	Somerset	51.227	-2.328
GB-STS	Staffordshire	52.813	-2.082
GB-SFK	Suffolk	52.127	1.411
GB-SRY	Surrey	51.192	-0.446
GB-WAR	Warwickshire	52.285	-1.61
GB-WSX	West Sussex	50.816	-0.918
GB-WOR	Worcestershire	52.199	-2.244
GB-LBH	Lambeth	51.472	-0.164
GB-WSM	Westminster	51.51	-0.159
GB-BRD	Bradford	53.794	-1.752
GB-CLD	Calderdale	53.742	-1.995
GB-GAT	Gateshead	54.959	-1.602
GB-KIR	Kirklees	53.593	-1.801
GB-LDS	Leeds	53.8	-1.549
GB-LIV	Liverpool	53.411	-2.978
GB-MAN	Manchester	53.481	-2.234
GB-ROT	Rotherham	53.43	-1.357
GB-SFT	Sefton	53.502	-2.974
GB-SKP	Stockport	53.408	-2.149
GB-WKF	Wakefield	53.683	-1.499
GB-WIL	Wiltshire	51.294	-1.942
GB-LND	London, City of	51.5	-0.126
GB-ABC	Armagh Bambridge and Craigavon	54.369	-6.466
GB-ABD	Aberdeenshire	57.162	-2.719
GB-ANS	Angus	56.797	-2.921
GB-AGB	Argyll and Bute	55.994	-5.444
GB-DGY	Dumfries and Galloway	55.069	-3.608
GB-EAY	East Ayrshire	55.459	-4.334
GB-ELN	East Lothian	55.949	-2.77
GB-FIF	Fife	56.208	-3.15
GB-ORK	Orkney Islands	59.024	-2.989
GB-SCB	Scottish Borders, The	55.549	-2.786
GB-ZET	Shetland Islands	60.494	-1.382
GB-SLK	South Lanarkshire	55.524	-3.704
GB-ANT	Antrim	54.713	-6.217
GB-ARM	Armagh	54.348	-6.656
GB-BLA	Ballymena	54.863	-6.278
GB-BLY	Ballymoney	55.071	-6.515
GB-BNB	Banbridge	54.351	-6.267
GB-BFS	Belfast	54.597	-5.93
GB-CKF	Carrickfergus	54.721	-5.791
GB-CLR	Coleraine	55.132	-6.668
GB-CKT	Cookstown	54.646	-6.745
GB-DRS	Derry and Strabane	54.81	-7.424
GB-DRY	Derry	54.995	-7.32
GB-DOW	Down	54.341	-5.748
GB-DGN	Dungannon	54.503	-6.77
GB-FER	Fermanagh	54.451	-7.713
GB-LMV	Limavady	55.051	-6.951
GB-MFT	Magherafelt	54.755	-6.606
GB-NDN	North Down	54.64	-5.711
GB-OMH	Omagh	54.6	-7.298
GB-BDF	Bedford	52.136	-0.468
GB-BNH	Brighton and Hove	50.82	-0.136
GB-BST	Bristol, City of	51.455	-2.592
GB-CHE	Cheshire East	41.499	-72.901
GB-CHW	Cheshire West and Chester	53.202	-2.712
GB-CON	Cornwall	50.323	-5.02
GB-DUR	Durham	54.779	-1.56
GB-ERY	East Riding of Yorkshire	53.822	-0.719
GB-HEF	Herefordshire	52.077	-2.654
GB-IOW	Isle of Wight	50.693	-1.317
GB-NEL	North East Lincolnshire	53.553	-0.088
GB-NBL	Northumberland	55.338	-2.257
GB-RDG	Reading	51.455	-0.969
GB-SHR	Shropshire	52.586	-2.704
GB-WBK	West Berkshire	51.466	-1.281
GB-YOR	York	53.958	-1.082
GB-FLN	Flintshire;Sir y Fflint	53.18	-3.13
GB-PEM	Pembrokeshire;Sir Benfro	51.671	-4.701
GB-POW	Powys	52.143	-3.374
GD-03	Saint George	12.054	-61.75
GE-AB	Abkhazia	43.122	41.163
GE-AJ	Ajaria	41.661	42.068
GE-GU	Guria	41.992	42.074
GE-IM	Imeret’i	42.162	42.956
GE-KA	Kakhet’i	41.717	45.784
GE-KK	K’vemo K’art’li	41.479	44.656
GE-MM	Mts’khet’a-Mt’ianet’i	42.09	44.682
GE-RL	Racha-Lech’khumi-K’vemo Svanet’i	42.672	43.056
GE-SZ	Samegrelo-Zemo Svanet’i	42.578	42.064
GE-SK	Shida K’art’li	41.981	44.105
GH-BA	Brong-Ahafo	7.602	-1.956
GQ-BN	Bioko Norte	3.677	8.781
GR-13	Achaïa	38.233	21.762
GR-01	Aitolia kai Akarnania	38.638	21.41
GR-12	Arkadia	37.496	22.358
GR-94	Chania	35.516	24.019
GR-07	Fokida	38.546	22.276
GR-33	Ioannina	39.674	20.84
GR-41	Karditsa	39.366	21.927
GR-55	Kavala	40.936	24.409
GR-23	Kefallonia	38.175	20.569
GR-57	Kilkis	40.994	22.876
GR-58	Kozani	40.301	21.786
GR-82	Kyklades	37	25.167
GR-16	Lakonia	36.947	22.662
GR-92	Lasithi	35.183	25.467
GR-17	Messinia	37.113	21.919
GR-59	Pella	40.76	22.526
GR-54	Thessaloniki	40.639	22.945
GR-21	Zakynthos	37.783	20.897
GT-GU	Guatemala	14.613	-90.535
HR-18	Istarska županija	45.129	13.902
HR-04	Karlovačka županija	45.239	15.398
HR-02	Krapinsko-zagorska županija	46.101	15.881
HR-09	Ličko-senjska županija	44.619	15.47
HR-08	Primorsko-goranska županija	45.273	14.595
HR-03	Sisačko-moslavačka županija	45.384	16.538
HR-17	Splitsko-dalmatinska županija	43.524	16.818
HR-15	Šibensko-kninska županija	43.928	16.104
HR-05	Varaždinska županija	46.232	16.336
HR-13	Zadarska županija	44.132	15.456
HU-BE	Békés	46.772	21.129
HU-BZ	Borsod-Abaúj-Zemplén	48.294	20.693
HU-CS	Csongrád	46.711	20.145
HU-FE	Fejér	47.122	18.529
HU-GS	Győr-Moson-Sopron	47.651	17.251
HU-JN	Jász-Nagykun-Szolnok	47.256	20.523
HU-KE	Komárom-Esztergom	47.599	18.387
HU-NO	Nógrád	47.91	19.046
HU-PE	Pest	47.559	18.942
HU-SO	Somogy	46.555	17.587
HU-SZ	Szabolcs-Szatmár-Bereg	48.039	22.003
HU-VA	Vas	47.093	16.681
HU-VE	Veszprém (county)	47.093	17.914
HU-BC	Békéscsaba	46.686	21.157
HU-SN	Sopron	47.678	16.551
HU-SD	Szeged	46.246	20.085
HU-BU	Budapest	47.498	19.041
ID-MA	Maluku	-3.238	130.145
ID-JT	Jawa Tengah	-7.615	110.712
ID-JI	Jawa Timur	-5.78	112.644
ID-KB	Kalimantan Barat	-0.819	109.331
ID-SS	Sumatra Selatan	-0.59	101.343
ID-JK	Jakarta Raya	-6.212	106.845
ID-YO	Yogyakarta	-7.797	110.369
IE-CO	Cork	51.898	-8.471
IE-CW	Carlow	52.836	-6.925
IE-CN	Cavan	53.994	-7.361
IE-CE	Clare	52.784	-9.081
IE-DL	Donegal	54.654	-8.111
IE-D	Dublin	53.344	-6.267
IE-G	Galway	53.274	-9.052
IE-KY	Kerry	52.181	-9.537
IE-KE	Kildare	53.16	-6.909
IE-KK	Kilkenny	52.654	-7.248
IE-LS	Laois	53.033	-7.301
IE-LM	Leitrim	53.989	-8.063
IE-LK	Limerick	52.664	-8.627
IE-LD	Longford	53.726	-7.799
IE-LH	Louth	53.952	-6.539
IE-MO	Mayo	53.76	-9.118
IE-MH	Meath	53.401	-6.664
IE-MN	Monaghan	54.249	-6.969
IE-OY	Offaly	53.277	-7.492
IE-RN	Roscommon	53.628	-8.189
IE-SO	Sligo	54.271	-8.472
IE-TA	Tipperary	52.475	-8.157
IE-WD	Waterford	52.257	-7.129
IE-WH	Westmeath	53.535	-7.349
IE-WX	Wexford	52.339	-6.46
IE-WW	Wicklow	52.979	-6.042
IL-D	HaDarom	30.83	35.039
IL-M	HaMerkaz	31.952	34.907
IL-HA	Hefa	32.83	34.974
IL-JM	Yerushalayim Al Quds	31.768	35.217
IN-AP	Andhra Pradesh	16.271	81.0
IN-AR	Arunāchal Pradesh	28.239	94.07
IN-GA	Goa	15.425	73.983
IN-GJ	Gujarāt	22.259	71.192
